Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPXT Index
12/12/03,41.36,525.8214,1155.16,1566.4974
12/15/03,41.52,525.8189,1154.05,1557.6586
12/16/03,41.55,521.8007,1156.49,1568.0166
12/17/03,41.81,528.8909,1158.67,1570.1478
12/18/03,41.91,533.4336,1160.8101,1588.9016
12/19/03,41.93,526.7279,1161.23,1588.1935
12/22/03,41.29,508.64,1160.22,1594.4321
12/23/03,41.41,506.9702,1155.3101,1598.9344
12/24/03,41.81,512.6342,1159.11,1596.0509
12/26/03,42.22,513.3105,1161.55,1598.7449
12/29/03,42.07,509.3271,1158.8,1619.1583
12/30/03,42.06,516.3749,1157.38,1619.5914
12/31/03,41.9,511.5495,1158.4399,1622.9386
1/2/04,42.3,513.7326,1153.28,1618.0504
1/5/04,43.06,533.7473,1153.8,1638.1021
1/6/04,42.41,534.487,1159.1801,1640.3053
1/7/04,42.15,531.0157,1160.53,1644.6018
1/8/04,42.9,537.7013,1160.7,1652.8264
1/9/04,43,543.8373,1168.79,1638.1359
1/12/04,42.94,543.5876,1168.87,1646.0337
1/13/04,42.77,534.2392,1171.26,1637.3298
1/14/04,42.64,532.8704,1172.98,1650.9619
1/15/04,42.09,514.9377,1173.71,1653.2051
1/16/04,42.68,529.7998,1172.1801,1664.5657
1/19/04,42.52,529.7998,1172.1801,1664.5657
1/20/04,43.19,542.0841,1170.79,1663.0288
1/21/04,43.28,539.3938,1171.91,1676.0719
1/22/04,43.18,537.84,1175.08,1670.7305
1/23/04,43.29,537.7709,1170.64,1667.2571
1/26/04,42.99,528.6475,1167.58,1687.4406
1/27/04,42.67,525.2953,1170.48,1670.9089
1/28/04,42.59,520.4468,1164.55,1648.4376
1/29/04,42.15,512.352,1164.71,1657.0931
1/30/04,42.56,513.1737,1167.76,1652.7279
2/2/04,42.59,525.9076,1167.27,1658.7882
2/3/04,42.76,520.5012,1169.8101,1659.9241
2/4/04,42.67,512.0735,1169.0601,1646.2909
2/5/04,42.89,512.0477,1166.45,1649.3523
