DATE,SPXT,BOND,FTSE
6/24/04,1678.0692,1157.14,42.76
6/25/04,1668.9292,1157.51,42.5
6/28/04,1667.6089,1152.61,41.85
6/29/04,1671.8438,1155.05,41.67
6/30/04,1678.8256,1160.1801,42.05
7/1/04,1661.5255,1163.29,42.59
7/2/04,1656.3309,1168.8,42.53
7/5/04,1656.3309,1168.8,42.61
7/6/04,1642.8351,1168.42,43.14
7/7/04,1646.3611,1168.42,43.04
7/8/04,1632.8848,1168.9301,42.86
7/9/04,1638.4185,1169.45,42.84
7/12/04,1640.73,1170.74,42.32
7/13/04,1641.9645,1168.5,42.23
7/14/04,1636.6182,1168.28,42.7
7/15/04,1629.5762,1168.36,42.53
7/16/04,1621.806,1174.8101,42.54
7/19/04,1621.0846,1174.89,42.58
7/20/04,1632.5201,1170.34,42.36
7/21/04,1610.8844,1168.91,42.33
7/22/04,1615.2743,1170.22,42.52
7/23/04,1599.6212,1171.61,42.35
7/26/04,1596.4845,1170.13,42.38
7/27/04,1612.33,1163.92,42.42
7/28/04,1613.4996,1165.09,42.64
7/29/04,1621.3483,1166.3,42.6
7/30/04,1623.2621,1171.6801,42.62
8/2/04,1630.4808,1172.71,42.48
8/3/04,1620.2814,1174.27,42.43
8/4/04,1618.999,1174.15,42.15
8/5/04,1592.6385,1175.66,42.25
8/6/04,1568.0715,1185.54,41.99
8/9/04,1569.9606,1184.5,42.24
